"migration","batch"
"2014_10_12_000000_create_users_table","1"
"2015_06_21_174427_create_posts_table","1"
"2015_06_27_074414_create_tags_table","1"
"2015_06_27_074433_create_post_tag_pivot","1"
"2016_08_08_231059_create_post_tag_table","1"
"2016_08_08_234447_drop_post_tag_pivot_table","1"
"2016_08_28_195321_add_linkedin_column_to_users_table","1"
"2016_08_29_082858_add_cv_column_to_users_table","1"
"2016_09_02_231259_create_password_resets_table","1"
"2016_09_07_091203_create_settings_table","1"
"2016_09_19_211743_add_user_id_column_to_users","2"
"2016_09_19_212154_add_user_id_column_to_posts","3"
"2016_09_19_220401_add_admin_column_to_users","4"
"2016_09_21_141732_add_company_name_to_users_table","5"
"2016_09_30_104716_create_location_table","6"
